,Character,Pinyin,C1Type,Strokes,Frequency,C1Frequency,AdjustedFrequency,AdjustedC1Frequency
0,曲,qu3,Picto,6,32.0237,183.6395,158.3171,491.4766
1,案,an4,PicPho,10,48.9177,245.9753,48.9177,245.9753
2,投,tou2,PicPho,7,65.0111,930.4444,65.0111,930.4444
3,稳,wen3,Other,14,36.8718,77.0667,36.8718,77.0667
4,敝,bi4,PicSyn,11,0.1186,0.4494,0.1186,0.4494
5,描,miao2,PicPho,12,0.2595,38.7753,0.2595,38.7753
6,畜,xu4,PicSyn,10,3.1134,9.363,3.1134,9.363
7,款,kuan3,PicSyn,12,153.699,217.1062,153.699,217.1062
8,窒,zhi4,PicPho,11,0.0371,6.2321,0.0371,6.2321
9,矮,ai3,PicPho,13,22.7279,21.4272,22.7279,21.4272
10,卵,luan3,Picto,7,3.7806,7.6444,3.7806,7.6444
11,蹿,cuan1,PicPho,19,0.2891,1.3481,0.2891,1.3481
12,隐,yin3,Other,11,4.2847,79.5358,4.2847,79.5358
13,盔,kui1,PicPho,11,0.215,5.8469,0.215,5.8469
14,爽,shuang3,PicSyn,11,36.212,180.4395,36.212,180.4395
15,传,zhuan4,PicPho,6,96.7161,554.637,96.7161,554.637
16,喏,nuo4,PicPho,12,0.6894,1.8568,0.6894,1.8568
17,舵,duo4,PicPho,11,1.1045,1.7679,1.1045,1.7679
18,益,yi4,PicSyn,10,5.0556,70.4395,5.0556,70.4395
19,爱,ai4,Other,10,2042.6093,2633.6889,2042.6093,2633.6889
20,远,yuan3,PicPho,7,153.6546,508.1185,153.6546,508.1185
21,择,zhai2,Other,8,0.6375,196.3605,0.6375,196.3605
22,澪,ling2,PicPho,16,0.3336,0.2765,0.3336,0.2765
23,划,hua4,PicSyn,6,15.063,144.8642,15.063,144.8642
24,瓢,piao2,PicPho,16,0.1483,2.3358,0.1483,2.3358
25,侣,lv3,PicPho,8,0.2446,48.7605,0.2446,48.7605
26,思,si1,PicSyn,9,12.1349,539.5605,12.1349,539.5605
27,齿,chi3,Picto,8,1.5196,31.9654,2.1719000000000004,93.5209
28,粑,ba1,PicPho,10,0.0667,7.1654,0.0667,7.1654
29,抿,min3,PicPho,8,0.9192,1.116,0.9192,1.116
30,枯,ku1,PicPho,9,0.2298,20.4593,0.2298,20.4593
31,琼,qiong2,Other,12,2.4611,9.8914,2.4611,9.8914
32,鲨,sha1,PicPho,15,1.6012,9.8617,1.6012,9.8617
33,握,wo4,PicPho,12,15.8488,67.9309,15.8488,67.9309
34,肤,fu1,PicPho,8,0.6968,154.4691,0.6968,154.4691
35,嚏,ti4,PicPho,17,0.089,6.8296,0.089,6.8296
36,褶,zhe3,PicPho,17,0.3262,4.7506,0.3262,4.7506
37,刻,ke4,PicPho,8,85.1446,308.716,85.1446,308.716
38,纺,fang3,PicPho,7,0.1186,6.8741,0.1186,6.8741
39,秃,tu1,Picto,7,0.7116,5.2741,0.7116,5.2741
40,痕,hen2,PicPho,11,8.7027,38.7901,8.7027,38.7901
41,博,bo2,PicPho,12,2319.8962,2243.5852,2319.8962,2243.5852
42,镬,huo4,PicPho,18,0.0445,0.3111,0.0445,0.3111
43,泊,bo2,PicPho,8,1.1268,14.0691,1.1268,14.0691
44,娱,yu2,PicPho,10,10.5189,60.3259,10.5189,60.3259
45,染,ran3,PicPho,9,13.788,64.8099,13.788,64.8099
46,掸,dan3,PicPho,11,0.1631,0.6765,0.1631,0.6765
47,蛰,zhe2,PicPho,12,0.8377,1.037,0.8377,1.037
48,囔,nang1,PicPho,25,0.0148,1.2099,0.0148,1.2099
49,谣,yao2,PicPho,12,0.1705,13.037,0.1705,13.037
50,烦,fan2,PicSyn,10,145.5893,277.7037,145.5893,277.7037
51,楷,kai3,PicPho,13,0.0148,1.5259,0.0148,1.5259
52,额,e2,PicPho,15,37.3684,75.9605,37.3684,75.9605
53,咸,xian2,PicSyn,9,12.1053,19.4617,12.1053,19.4617
54,柩,jiu4,PicPho,9,0.0222,0.2025,0.0222,0.2025
55,瘫,tan1,PicPho,15,1.49,7.2938,1.49,7.2938
56,葱,cong1,PicPho,11,14.596,40.7309,14.596,40.7309
57,窥,kui1,PicPho,13,1.2676,6.4099,1.2676,6.4099
58,枕,zhen3,Other,8,8.3469,28.1284,8.3469,28.1284
59,锚,mao2,PicPho,13,0.6004,1.7136,0.6004,1.7136
60,录,lu4,PicPho,8,92.2832,339.037,92.2832,339.037
61,墓,mu4,PicPho,14,13.7583,27.9802,13.7583,27.9802
62,芋,yu4,PicPho,6,0.1631,7.8074,0.1631,7.8074
63,囚,qiu2,PicSyn,5,0.6153,8.6321,0.6153,8.6321
64,疆,jiang1,PicLog,19,0.3188,12.163,0.3188,12.163
65,镇,zhen4,PicPho,15,32.6093,82.6568,32.6093,82.6568
66,吝,lin4,PicPho,7,0.0148,5.1012,0.0148,5.1012
67,卜,bu3,Picto,2,2.8169,53.284,4847.1758,12431.698699999999
68,椿,chun1,PicPho,13,0.0371,0.7062,0.0371,0.7062
69,鹿,lu4,Picto,11,9.4218,27.7877,9.495999999999999,29.2939
70,哆,duo1,PicPho,9,1.4678,9.763,1.4678,9.763
71,胜,sheng4,PicPho,9,28.9177,188.2815,28.9177,188.2815
72,评,ping2,PicPho,7,16.4937,259.8469,16.4937,259.8469
73,捆,kun3,PicPho,10,2.1349,5.0222,2.1349,5.0222
74,拧,ning3,PicPho,8,1.7865,5.0519,1.7865,5.0519
75,柄,bing3,PicPho,9,1.0378,5.8123,1.0378,5.8123
76,焊,han4,PicPho,11,0.6746,1.7877,0.6746,1.7877
77,另,ling4,PicSyn,5,213.3136,191.2988,213.3136,191.2988
78,市,shi4,PicSyn,5,33.8325,774.4444,33.8325,774.4444
79,勾,gou1,PicSyn,4,6.2046,27.7235,6.2046,27.7235
80,踹,chuai4,PicPho,16,1.238,3.8519,1.238,3.8519
81,轨,gui3,PicPho,6,1.4085,23.3481,1.4085,23.3481
