,rendered_character,stroke_gif_complexity
0,臊,
1,兆,
2,诫,
3,嬷,53.0
4,蔓,83.0
5,阮,43.0
6,拎,53.0
7,妆,43.0
8,町,48.0
9,瞪,91.0
10,撵,95.0
11,啪,68.0
12,浆,72.0
13,嗤,62.0
14,烘,63.0
15,艾,34.0
16,没,51.0
17,嚏,111.0
18,挣,64.0
19,迷,55.0
20,邀,94.0
21,撞,86.0
22,导,49.0
23,普,66.0
24,损,80.0
25,瓤,117.0
26,蝉,83.0
27,菩,67.0
28,健,80.0
29,椅,72.0
30,沛,48.0
31,那,47.0
32,蘸,126.0
33,蒲,79.0
34,恶,
35,践,
36,憨,
37,枝,
38,谍,
39,颓,
40,琵,
41,埋,
42,笔,
43,戴,
44,辉,
45,钉,
46,膊,
47,晔,
48,铲,
49,警,
50,特,
51,咱,
52,淋,
53,赠,
54,芝,
55,嘛,
56,纹,
57,玺,
58,爷,
59,镁,
60,轴,
61,浇,
62,巅,
63,剧,75.0
64,湄,71.0
65,碱,85.0
66,爱,70.0
67,汇,36.0
68,涅,73.0
69,趴,60.0
70,圆,80.0
71,婆,88.0
72,苑,57.0
73,彽,
74,棕,71.0
75,遮,72.0
76,啫,
77,剂,52.0
78,磕,99.0
79,俩,57.0
80,袖,75.0
81,危,51.0
82,遵,90.0
83,瑭,
84,叽,41.0
85,贡,48.0
86,箱,75.0
87,掉,70.0
88,医,47.0
89,鳃,36.0
90,蹟,
91,睾,87.0
92,帮,68.0
93,寅,70.0
94,啸,
95,拷,
96,妙,
97,匮,
98,蛤,
99,腾,
100,遭,
101,奇,
102,诗,
103,嘘,
104,鬓,
105,豚,
106,躲,
107,氨,
108,奠,
109,郁,
110,淌,
111,这,
112,黏,
113,烁,
114,铆,
115,嗅,
116,踢,
117,扼,
118,鲲,
119,槽,
120,锐,
121,绥,
122,钞,
123,晦,70.0
124,鲨,90.0
125,炉,55.0
126,岂,46.0
127,蔬,71.0
128,揣,76.0
129,鞍,89.0
130,凭,59.0
131,忿,47.0
132,椒,65.0
133,援,69.0
134,翔,64.0
135,琉,68.0
136,噙,82.0
137,俊,53.0
138,附,53.0
139,认,32.0
140,驽,
141,萁,
142,馍,66.0
143,桦,80.0
144,迄,50.0
145,译,50.0
146,裇,
147,傍,68.0
148,剜,
