,rendered_character,simplified_character,period,image_ID,dataset,scale_method,skeletonise_method,perimetric_complexity,pixel_complexity
0,一,一,Bronze,B00001,hzy,stretch,lee,127.58113593871548,416.0
1,一,一,Bronze,B00002,hzy,stretch,lee,124.45122621415804,431.0
2,一,一,Bronze,B00003,hzy,stretch,lee,123.13956550423836,370.0
3,一,一,Bronze,B00004,hzy,stretch,lee,122.67006786687496,377.0
4,一,一,Bronze,B00005,hzy,stretch,lee,132.56273288131712,431.0
5,一,一,Bronze,B00006,hzy,stretch,lee,140.16330888799956,465.0
6,一,一,Bronze,B00007,hzy,stretch,lee,137.127926017893,523.0
7,一,一,Bronze,B00008,hzy,stretch,lee,124.71926099210964,447.0
8,一,一,Bronze,B00009,hzy,stretch,lee,154.62133314319556,579.0
9,一,一,Bronze,B00010,hzy,stretch,lee,120.05445966199038,405.0
10,一,一,Bronze,B00011,hzy,stretch,lee,123.45975287201787,453.0
11,一,一,Bronze,B00012,hzy,stretch,lee,138.85990176552392,457.0
12,一,一,Bronze,B00013,hzy,stretch,lee,248.04356521725992,965.0
13,一,一,Bronze,B00014,hzy,stretch,lee,136.89982930545543,506.0
14,一,一,Bronze,B00015,hzy,stretch,lee,98.1590595210636,356.0
15,一,一,Oracle,J00001,hzy,stretch,lee,218.91557454970703,811.0
16,一,一,Oracle,J00002,hzy,stretch,lee,190.57506254279983,692.0
17,一,一,Seal,S00001,hzy,stretch,lee,142.05596719628156,469.0
18,丁,丁,Bronze,B20292,hzy,stretch,lee,32.95145906650441,72.0
19,丁,丁,Bronze,B20293,hzy,stretch,lee,18.04490352424861,59.0
20,丁,丁,Bronze,B20294,hzy,stretch,lee,173.45508274363507,637.0
21,丁,丁,Bronze,B20295,hzy,stretch,lee,134.65920100308847,506.0
22,丁,丁,Bronze,B20296,hzy,stretch,lee,21.37945556493224,74.0
23,丁,丁,Bronze,B20297,hzy,stretch,lee,161.40306192520137,640.0
24,丁,丁,Bronze,B20298,hzy,stretch,lee,107.23033605416109,389.0
25,丁,丁,Bronze,B20299,hzy,stretch,lee,66.21517345991623,258.0
26,丁,丁,Bronze,B20300,hzy,stretch,lee,388.9991979777754,1567.0
27,丁,丁,Bronze,B20301,hzy,stretch,lee,146.2683501078615,478.0
28,丁,丁,Bronze,B20302,hzy,stretch,lee,282.1723598093529,1139.0
29,丁,丁,Bronze,B20303,hzy,stretch,lee,137.0107194596804,539.0
30,丁,丁,Bronze,B20304,hzy,stretch,lee,253.83493999857785,939.0
31,丁,丁,Bronze,B20305,hzy,stretch,lee,293.07389707083684,1202.0
32,丁,丁,Bronze,B20306,hzy,stretch,lee,239.84172388242067,998.0
33,丁,丁,Bronze,B20307,hzy,stretch,lee,97.83159333982334,268.0
34,丁,丁,Bronze,B20308,hzy,stretch,lee,170.20738359792256,636.0
35,丁,丁,Bronze,B20309,hzy,stretch,lee,164.25296884602704,588.0
36,丁,丁,Bronze,B20310,hzy,stretch,lee,136.10029170991655,448.0
37,丁,丁,Bronze,B20311,hzy,stretch,lee,254.58837805562024,973.0
38,丁,丁,Bronze,B20312,hzy,stretch,lee,120.7466993768838,377.0
39,丁,丁,Bronze,B20313,hzy,stretch,lee,254.97551566536907,933.0
40,丁,丁,Bronze,B20314,hzy,stretch,lee,243.90785894879536,915.0
41,丁,丁,Bronze,B20315,hzy,stretch,lee,242.9286934915953,847.0
42,丁,丁,Bronze,B20316,hzy,stretch,lee,243.5538939651027,877.0
43,丁,丁,Oracle,J30153,hzy,stretch,lee,241.60496930589352,953.0
44,丁,丁,Oracle,J30154,hzy,stretch,lee,243.43253799692985,847.0
45,丁,丁,Oracle,J30155,hzy,stretch,lee,246.35191205513044,972.0
