,image_path,perimetric_complexity,pixel_complexity
0,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/一_Simplified_一.png,64.20046391432415,284.0
1,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/丁_Simplified_丁.png,145.03238055694024,620.0
2,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/七_Simplified_七.png,179.9843313936412,743.0
3,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/万_Simplified_万.png,236.29408860886977,949.0
4,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/丈_Simplified_丈.png,241.47422762281045,872.0
5,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/三_Simplified_三.png,169.17364482830354,746.0
6,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/上_Simplified_上.png,152.39966088575815,679.0
7,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/下_Simplified_下.png,162.97135092490723,673.0
8,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/不_Simplified_不.png,214.5382977505079,772.0
9,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/与_Simplified_与.png,232.3808738258433,999.0
10,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/丑_Simplified_丑.png,269.14750826286985,1187.0
11,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/专_Simplified_专.png,275.87541523830816,1086.0
12,C:/Users/User/Downloads/hanzi_data_final/hanzi_data/images/Hiragino Sans GB_padded_lee/且_Simplified_且.png,302.0409475883052,1364.0
