,rendered_character,simplified_character,period,image_id,dataset,distinctiveness,nearest neighbours,period_stream
0,高,高,Bronze,B08266,hzy,118.13732928313703,"['仓', '官', '冬', '得', '君', '卜', '家', '且', '宜', '祖']",Oracle
1,衣,衣,Bronze,B12740,hzy,95.09195827405544,"['文', '伯', '六', '午', '白', '裘', '卒', '余', '征', '天']",Oracle
2,率,率,Bronze,B18517,hzy,114.40292692243963,"['伐', '州', '队', '辟', '休', '犬', '丝', '葬', '兹', '行']",Oracle
3,幼,幼,Bronze,B05849,hzy,111.77466202450822,"['丝', '男', '至', '利', '兹', '孙', '蜀', '糸', '步', '子']",Oracle
4,甫,甫,Bronze,B04948,hzy,128.08245533550604,"['南', '鼎', '首', '用', '庚', '绥', '步', '对', '利', '小']",Oracle
5,宿,宿,Bronze,B11689,hzy,139.68447441946998,"['鱼', '室', '扬', '宝', '昱', '傧', '卿', '宁', '牢', '须']",Oracle
6,龙,龙,Bronze,B16012,hzy,112.7378964536711,"['畜', '帝', '季', '客', '唯', '逐', '鸟', '考', '盂', '兹']",Oracle
7,蔑,蔑,Bronze,B05677,hzy,118.24663193245505,"['孙', '成', '辟', '马', '虞', '唯', '卿', '听', '男', '队']",Oracle
8,此,此,Bronze,B01871,hzy,125.2479759655242,"['折', '夭', '之', '兵', '林', '在', '沈', '丁', '卜', '禾']",Oracle
9,安,安,Bronze,B11326,hzy,105.20700644755432,"['宋', '向', '宾', '官', '终', '廿', '卜', '宁', '厂', '上']",Oracle
10,秉,秉,Bronze,B04043,hzy,117.34326965922628,"['季', '麦', '考', '或', '东', '何', '及', '羞', '事', '丑']",Oracle
11,帝,帝,Bronze,B00135,hzy,112.02928379511032,"['龙', '辛', '鸟', '千', '王', '乘', '逐', '麦', '畜', '斗']",Oracle
12,前,前,Bronze,B01803,hzy,107.29210676827088,"['古', '丹', '井', '方', '至', '女', '司', '角', '目', '出']",Oracle
13,又,又,Bronze,B03801,hzy,90.86771382816325,"['斗', '千', '丑', '乃', '屯', '己', '人', '乙', '王', '于']",Oracle
14,喜,喜,Bronze,B07286,hzy,124.60242734570622,"['事', '惠', '礼', '页', '东', '游', '克', '季', '唐', '父']",Oracle
15,齐,齐,Bronze,B10673,hzy,118.88559725917987,"['厂', '裘', '兵', '斤', '六', '队', '午', '永', '秦', '终']",Oracle
16,学,学,Bronze,B04781,hzy,137.53935362731266,"['解', '眉', '遣', '晨', '奚', '旧', '陵', '洛', '鹿', '买']",Oracle
17,女,女,Bronze,B16581,hzy,103.88434919096748,"['仲', '辛', '兄', '又', '母', '丹', '终', '方', '九', '弗']",Oracle
18,祥,祥,Bronze,B00169,hzy,125.4997423547275,"['美', '姜', '义', '羞', '队', '获', '虎', '逆', '伐', '率']",Oracle
19,令,令,Bronze,B13993,hzy,109.70684711903178,"['余', '文', '合', '兮', '伯', '午', '旦', '即', '卒', '气']",Oracle
20,山,山,Bronze,B14264,hzy,104.09881398257316,"['止', '卅', '曰', '舟', '丘', '之', '士', '廿', '正', '在']",Oracle
21,沈,沈,Bronze,B15600,hzy,122.87334349878776,"['黍', '林', '兵', '休', '水', '祭', '此', '木', '上', '衍']",Oracle
22,它,它,Bronze,B18567,hzy,107.38846528632608,"['月', '夕', '舟', '五', '征', '丘', '正', '衣', '田', '耳']",Oracle
23,兮,兮,Bronze,B07114,hzy,95.83807497745786,"['分', '少', '公', '今', '羊', '伯', '余', '六', '才', '白']",Oracle
24,异,异,Bronze,B03479,hzy,125.34932253332568,"['毕', '丰', '若', '解', '兴', '牢', '畏', '乐', '奚', '典']",Oracle
25,夷,夷,Bronze,B15001,hzy,109.06891953004576,"['黄', '何', '来', '季', '及', '鸟', '辛', '尹', '麦', '亦']",Oracle
26,吴,吴,Bronze,B15051,hzy,105.65215306666994,"['兄', '禾', '央', '牛', '生', '羊', '夭', '朱', '木', '成']",Oracle
27,美,美,Bronze,B05724,hzy,119.27820721194766,"['祥', '羞', '问', '虎', '姜', '或', '疾', '爰', '义', '犀']",Oracle
28,对,对,Bronze,B03321,hzy,120.50557570912932,"['史', '鸟', '缶', '羞', '何', '麦', '鸣', '帝', '爰', '队']",Oracle
29,卅,卅,Bronze,B02944,hzy,96.26999096999027,"['止', '山', '廿', '舟', '正', '曰', '士', '八', '之', '州']",Oracle
30,良,良,Bronze,B08448,hzy,129.96517910501922,"['得', '员', '仓', '高', '页', '奠', '食', '足', '首', '糸']",Oracle
31,敏,敏,Bronze,B04561,hzy,113.78684961263392,"['传', '葬', '保', '队', '伐', '季', '戚', '束', '龟', '武']",Oracle
32,疆,疆,Bronze,B18060,hzy,105.67062961656056,"['强', '受', '保', '传', '会', '尊', '廿', '上', '终', '尸']",Oracle
33,疾,疾,Bronze,B11937,hzy,118.50088226441494,"['及', '葬', '般', '卯', '队', '辟', '敏', '丑', '夷', '美']",Oracle
34,行,行,Bronze,B02547,hzy,111.22159343247566,"['水', '兮', '伐', '公', '化', '天', '允', '谷', '葬', '征']",Oracle
35,林,林,Bronze,B08858,hzy,106.99781270120548,"['木', '在', '井', '朱', '休', '卜', '生', '格', '七', '甲']",Oracle
36,史,史,Bronze,B04223,hzy,111.27498024473884,"['多', '何', '廿', '羞', '虞', '爰', '毕', '丑', '告', '男']",Oracle
37,大,大,Bronze,B14958,hzy,95.68679268310696,"['立', '位', '矢', '方', '天', '夫', '赤', '朱', '文', '夭']",Oracle
38,聋,聋,Bronze,B16275,hzy,128.56326955797522,"['载', '上', '缶', '虞', '断', '廿', '教', '旬', '镬', '吹']",Oracle
39,夭,夭,Bronze,B15064,hzy,102.32630989348272,"['木', '朱', '央', '禾', '大', '文', '牛', '生', '兄', '矢']",Oracle
40,寇,寇,Bronze,B04698,hzy,126.11091398976336,"['官', '宾', '家', '安', '宗', '向', '犬', '祠', '洛', '终']",Oracle
41,丁,丁,Bronze,B20301,hzy,110.1073007478979,"['廿', '卜', '口', '氏', '上', '午', '舟', '犬', '网', '队']",Oracle
42,马,马,Bronze,B14646,hzy,111.6838583624987,"['至', '上', '得', '厂', '羞', '象', '禾', '队', '唯', '受']",Oracle
43,队,队,Bronze,B19727,hzy,105.38361454056432,"['廿', '休', '厂', '辟', '葬', '口', '巳', '上', '卜', '午']",Oracle
44,考,考,Bronze,B13056,hzy,114.3236873859739,"['或', '季', '何', '秉', '龙', '前', '天', '帝', '辛', '我']",Oracle
45,丰,丰,Bronze,B07375,hzy,141.16707525220357,"['异', '彭', '解', '典', '羽', '步', '春', '盟', '兴', '若']",Oracle
46,下,下,Bronze,B00154,hzy,100.17880307652231,"['二', '上', '一', '三', '口', '厂', '氏', '午', '壬', '工']",Oracle
47,侵,侵,Bronze,B12332,hzy,130.78711240587205,"['入', '戚', '祖', '廿', '喜', '卜', '贞', '及', '乘', '人']",Oracle
48,士,士,Bronze,B00588,hzy,84.80766651395712,"['王', '位', '矢', '甲', '工', '玉', '七', '才', '方', '土']",Oracle
49,何,何,Bronze,B12289,hzy,106.627246556439,"['鸟', '天', '夷', '爰', '羞', '虎', '史', '队', '季', '老']",Oracle
50,斤,斤,Bronze,B19465,hzy,100.05270819373985,"['厂', '午', '正', '终', '三', '六', '后', '氏', '上', '元']",Oracle
51,鸣,鸣,Bronze,B05757,hzy,123.50096573599096,"['仆', '尊', '对', '厂', '虞', '口', '官', '蔑', '上', '辟']",Oracle
